District,Police Station,Year,FIR No.,Registration Date,FIR No,Sections,Address,Crime_Section,Latitude,Longitude
THANE CITY,AMBERNATH,2024,316,16/02/2024 02:09:42,0316/2024,"महाराष्ट्र जुगार प्रतिबंधक अधिनियम, १८८७ - 12(a)","Vivekananda Street, AMBERNATH",Law Enforcement Obstruction,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,315,16/02/2024 01:24:26,0315/2024,"महाराष्ट्र दारूबंदी अधिनियम,१९४९ - 65(e)","Dagdusheth Halwai Temple Road, AMBERNATH",Prohibition Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,314,15/02/2024 18:27:44,0314/2024,भारतीय दंड संहिता १८६० - ३६३,"Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,312,14/02/2024 21:49:27,0312/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Near Theatre, AMBERNATH",Drug Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,311,14/02/2024 18:45:04,0311/2024,भारतीय दंड संहिता १८६० - ३६३,"Vivekananda Street, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,310,12/02/2024 06:52:35,0310/2024,"भारतीय दंड संहिता १८६० - ३२५,३४,५०४","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,309,11/02/2024 21:40:23,0309/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,308,11/02/2024 21:27:54,0308/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,307,11/02/2024 21:12:52,0307/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,306,11/02/2024 04:53:00,0306/2024,"भारतीय दंड संहिता १८६० - ३२३,३२४,३४,४२७,506(2),५०४","Near Theatre, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,305,11/02/2024 01:48:02,0305/2024,"भारतीय दंड संहिता १८६० - ३२३,३२४,३४,506(2)","Near Theatre, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,304,11/02/2024 01:01:32,0304/2024,"भारतीय दंड संहिता १८६० - ३२३,३२४,३४,506(2),५०४","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,303,10/02/2024 21:22:01,0303/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,302,10/02/2024 21:01:39,0302/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,301,10/02/2024 20:37:31,0301/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,300,10/02/2024 17:48:07,0300/2024,"भारतीय दंड संहिता १८६० - ३२३,३४,498-A,४०६,५०४,५०६","Near Theatre, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,299,10/02/2024 14:29:42,0299/2024,भारतीय दंड संहिता १८६० - ३७९,"Vivekananda Street, AMBERNATH",Theft/Robbery,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,298,10/02/2024 01:20:26,0298/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,297,10/02/2024 00:34:44,0297/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,296,10/02/2024 00:26:17,0296/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,295,10/02/2024 00:11:19,0295/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,294,09/02/2024 23:56:05,0294/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,293,09/02/2024 23:44:52,0293/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,292,09/02/2024 23:30:53,0292/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,291,09/02/2024 23:14:23,0291/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,290,09/02/2024 22:57:34,0290/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,289,09/02/2024 22:48:41,0289/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,288,09/02/2024 22:39:13,0288/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,287,09/02/2024 22:32:02,0287/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,286,09/02/2024 22:23:16,0286/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,285,09/02/2024 20:01:22,0285/2024,भारतीय दंड संहिता १८६० - १३५,"Dagdusheth Halwai Temple Road, AMBERNATH",Electricity Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,284,09/02/2024 19:49:24,0284/2024,भारतीय विद्युत अधिनियम (सुधारणा) २००३ - 135,"Dagdusheth Halwai Temple Road, AMBERNATH",Electricity Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,283,09/02/2024 19:04:38,0283/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,282,09/02/2024 01:19:56,0282/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,279,08/02/2024 22:18:15,0279/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,278,08/02/2024 22:07:56,0278/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,277,08/02/2024 21:56:45,0277/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,276,08/02/2024 21:14:34,0276/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,275,08/02/2024 20:57:52,0275/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,274,08/02/2024 20:19:42,0274/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,271,07/02/2024 20:12:38,0271/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,270,07/02/2024 20:03:39,0270/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,269,07/02/2024 19:22:22,0269/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,268,07/02/2024 19:03:39,0268/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,266,07/02/2024 18:07:42,0266/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,264,06/02/2024 21:10:37,0264/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,263,06/02/2024 20:53:47,0263/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,262,06/02/2024 20:22:35,0262/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,261,06/02/2024 19:56:57,0261/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,258,05/02/2024 18:19:23,0258/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,257,05/02/2024 18:09:12,0257/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,256,05/02/2024 17:21:56,0256/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,255,05/02/2024 17:10:10,0255/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,253,04/02/2024 23:44:47,0253/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,252,04/02/2024 23:29:44,0252/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,251,04/02/2024 22:15:37,0251/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,250,04/02/2024 22:02:10,0250/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,249,04/02/2024 21:55:47,0249/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,248,04/02/2024 21:16:12,0248/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,247,04/02/2024 21:03:23,0247/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,242,03/02/2024 01:03:13,0242/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,240,03/02/2024 00:25:06,0240/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,238,02/02/2024 23:50:59,0238/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,236,02/02/2024 22:20:53,0236/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,234,02/02/2024 18:03:18,0234/2024,"भारतीय दंड संहिता १८६० - २७९,३३७ ; मोटरवाहन अधिनियम, १९८८ - 134(A),134(B),184","Near Theatre, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,232,01/02/2024 21:20:49,0232/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,230,01/02/2024 21:02:15,0230/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,228,01/02/2024 00:33:52,0228/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,226,31/01/2024 22:57:37,0226/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Vivekananda Street, AMBERNATH",Drug Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,224,31/01/2024 20:41:32,0224/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,222,31/01/2024 19:29:19,0222/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,220,31/01/2024 19:10:26,0220/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,218,31/01/2024 15:21:29,0218/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,216,31/01/2024 14:51:39,0216/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,214,31/01/2024 14:20:21,0214/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,212,31/01/2024 00:08:41,0212/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,210,30/01/2024 23:33:05,0210/2024,भारतीय दंड संहिता १८६० - २८५,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,208,30/01/2024 22:59:48,0208/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,206,30/01/2024 20:31:38,0206/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,204,30/01/2024 19:54:24,0204/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,202,30/01/2024 19:40:06,0202/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,200,30/01/2024 13:03:09,0200/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,198,30/01/2024 12:45:00,0198/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,196,29/01/2024 19:01:36,0196/2024,भारतीय दंड संहिता १८६० - २८५,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,194,29/01/2024 14:58:15,0194/2024,भारतीय दंड संहिता १८६० - २८३,"Vivekananda Street, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,242,03/02/2024 01:03:13,0242/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,240,03/02/2024 00:25:06,0240/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,238,02/02/2024 23:50:59,0238/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,236,02/02/2024 22:20:53,0236/2024,भारतीय दंड संहिता १८६० - २८५,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,234,02/02/2024 18:03:18,0234/2024,"भारतीय दंड संहिता १८६० - २७९,३३७ ; मोटरवाहन अधिनियम, १९८८ - 134(A),134(B),184","Dagdusheth Halwai Temple Road, AMBERNATH",Assault,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,232,01/02/2024 21:20:49,0232/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,230,01/02/2024 21:02:15,0230/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,228,01/02/2024 00:33:52,0228/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,226,31/01/2024 22:57:37,0226/2024,"गुंगीकारक औषधीदव्‍य आणि मनोव्‍यापारावर परिणाम करणारे प्रदार्थ अधिनियम, १९८५ - 27,8(c)","Dagdusheth Halwai Temple Road, AMBERNATH",Drug Offense,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,224,31/01/2024 20:41:32,0224/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,222,31/01/2024 19:29:19,0222/2024,भारतीय दंड संहिता १८६० - २८३,"Dagdusheth Halwai Temple Road, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
THANE CITY,AMBERNATH,2024,220,31/01/2024 19:10:26,0220/2024,भारतीय दंड संहिता १८६० - २८३,"Near Theatre, AMBERNATH",Public Safety Violation,19.0905199171336,72.79421689990727
